0,0,0,5,2,13,2,24,5,37,5,67,8,100,8,70,32,40,40,24,40,16,37,5,24,5,5,13,10,24,13,37,13,91,10,40,24,24,24,16,18
0,0,3,20,0,41,0,51,3,65,0,82,3,100,6,82,27,65,34,51,34,37,34,20,24,10,6,37,13,51,13,65,13,89,10,65,13,51,17,37,13
0,0,0,15,7,28,10,38,15,53,12,74,12,100,12,71,28,51,30,35,28,23,25,12,15,7,5,25,17,38,20,51,20,92,12,51,17,38,17,25,12
0,0,10,25,2,46,0,58,2,69,0,84,5,100,12,84,25,69,28,56,28,43,28,23,20,7,12,43,10,56,12,69,12,92,12,69,12,56,12,43,12
0,0,0,13,0,28,2,39,5,52,2,73,5,100,5,73,23,52,31,39,31,26,28,13,18,7,2,28,13,39,15,52,13,92,7,52,15,39,15,28,13
0,0,2,17,0,34,0,45,5,60,2,77,5,100,5,80,31,60,40,45,40,31,37,14,28,8,5,34,8,45,11,60,8,91,8,60,22,45,25,34,22
0,0,6,19,3,32,0,48,3,64,3,80,3,100,6,80,19,64,22,48,25,32,22,16,19,9,9,32,9,48,12,64,9,90,6,64,9,48,9,32,9
0,0,2,12,0,27,0,40,4,57,2,78,2,100,6,78,31,57,40,40,40,25,38,10,25,4,4,27,6,40,8,55,8,95,8,57,27,40,29,25,25
0,0,8,18,2,37,0,51,2,64,0,81,0,100,5,83,29,67,40,51,43,37,40,18,32,8,10,37,8,51,10,64,8,91,5,64,24,51,27,37,27
0,0,11,25,5,51,5,68,8,80,2,91,0,100,2,91,28,82,42,68,45,51,45,25,37,5,14,51,17,68,14,80,11,94,5,80,20,65,25,51,25
0,4,8,0,0,6,2,17,8,34,6,67,17,100,34,69,54,39,60,23,56,8,47,4,30,6,13,6,10,17,17,34,19,93,34,39,43,23,39,10,30
0,0,2,16,0,30,0,44,2,55,0,75,2,100,2,77,27,58,33,44,33,30,33,13,25,8,5,30,8,44,8,55,8,88,5,55,16,44,16,30,13
0,0,5,18,2,36,0,50,2,60,2,78,2,100,2,81,21,60,28,47,28,34,28,15,21,5,7,36,10,47,10,60,10,92,5,60,15,47,18,34,15
0,0,17,17,2,38,0,52,2,67,0,82,2,100,17,85,38,67,47,52,50,38,47,17,38,5,20,38,11,52,11,67,11,91,17,67,29,52,32,38,29
0,0,0,16,0,29,0,43,2,56,0,75,2,100,5,78,18,56,24,40,24,27,24,13,16,8,2,29,5,43,8,56,5,91,5,56,16,43,16,29,13
0,0,3,28,3,50,0,65,3,75,0,87,0,100,0,87,15,78,25,65,28,50,28,25,21,6,6,50,12,65,12,75,12,90,6,75,9,65,12,50,12
0,0,5,16,2,33,0,44,2,58,0,77,5,100,11,77,25,58,30,41,30,30,27,13,19,5,8,30,11,44,13,58,13,91,13,58,13,44,13,30,11
0,0,7,14,2,29,0,41,2,56,0,78,2,100,7,78,29,58,39,43,39,29,36,14,26,7,9,29,12,41,12,56,12,95,9,56,21,43,21,29,19
0,0,4,17,0,34,0,47,2,63,2,82,2,100,8,82,32,63,43,47,43,32,41,15,28,6,6,34,6,47,8,63,8,95,10,63,28,47,30,32,28
0,0,8,19,2,36,0,50,2,66,2,83,2,100,11,83,30,66,36,50,38,36,36,16,30,8,11,36,8,50,11,66,8,91,11,66,25,50,25,36,25
0,0,2,21,7,38,9,50,11,61,9,78,7,100,0,78,19,64,23,50,26,38,26,19,19,7,4,38,14,50,16,61,14,92,2,61,16,50,19,38,16
0,0,22,25,7,50,2,65,5,77,0,92,0,100,10,92,40,80,57,65,62,50,62,25,52,5,22,50,12,65,12,77,10,95,12,80,40,65,45,50,45
0,0,25,19,8,38,0,52,2,66,2,86,8,100,25,86,47,66,52,52,55,36,52,16,44,2,22,38,8,52,8,66,8,94,22,66,38,52,41,36,38
0,0,7,10,5,26,5,36,7,52,2,76,2,100,0,78,23,57,34,42,36,28,36,13,26,5,7,28,13,39,15,55,13,92,2,55,18,39,21,28,18
0,0,5,17,0,35,0,50,2,65,0,82,0,100,5,82,27,65,40,50,42,35,40,15,30,7,7,35,7,50,7,65,7,92,5,65,25,50,27,35,25
0,0,9,16,2,33,0,47,4,61,2,80,2,100,9,80,26,61,33,47,33,33,30,16,26,4,9,33,7,47,9,61,7,92,11,61,19,47,21,33,19
0,0,16,16,6,33,0,50,3,63,0,80,6,100,13,83,30,66,40,50,40,33,40,16,33,10,16,33,10,50,13,63,10,90,13,63,23,50,23,33,23
0,0,8,23,8,44,8,57,10,70,6,85,4,100,0,85,29,70,44,57,46,42,46,21,36,4,10,44,14,57,17,70,12,93,4,70,31,57,36,44,34
0,0,4,17,0,35,2,51,4,64,2,82,2,100,4,84,26,64,35,51,37,35,35,17,24,6,4,35,6,51,8,64,8,93,6,64,24,51,26,35,24
0,0,5,23,2,44,2,57,2,71,0,84,0,100,2,86,28,73,36,57,39,44,39,23,28,7,7,44,7,57,10,71,7,92,5,71,23,57,26,44,23
0,0,0,31,3,56,0,68,6,78,0,90,3,100,3,87,21,75,31,65,34,50,31,25,21,9,6,53,12,65,15,78,12,93,6,78,9,65,12,53,12
0,0,10,13,2,29,0,43,2,56,0,78,2,100,8,78,21,56,27,40,27,27,27,13,21,5,13,29,10,43,13,56,10,91,10,56,10,40,13,29,10
0,0,35,14,11,35,0,52,2,64,0,85,8,100,32,82,44,64,47,50,50,35,50,17,47,5,32,35,11,50,11,64,11,91,29,64,35,50,35,35,35
0,0,7,17,2,35,0,47,5,62,2,80,5,100,12,82,30,62,40,47,40,32,37,15,30,5,10,35,10,47,12,62,10,92,12,62,27,47,27,32,25
0,0,21,21,3,46,0,60,3,71,0,89,7,100,25,89,42,71,50,57,50,42,50,21,39,10,21,46,17,60,17,71,17,89,25,71,28,57,28,42,28
